Employeer ID,Employeer Name,Employement Status,job title,length of employement,isCurrent Job,ratingCarrerOpportunities,ratingBusinessoutlook,ratingCEO,ratingCompensationand Benefits,ratingCulutreand Values,ratingDiversity and Inclusion,rating Overall,ratingSeniorleadership,rating worklifebalance,countHelpful,countNothelpful,summary,Cons,pros,reviewdate,reviewtime,city,state
5224839,JPMorganChase,REGULAR,Private Client Banker,9,TRUE,4,POSITIVE,APPROVE,3,4,5,4,4,5,0,0,"Great Company, Location &amp; Team Dependent","Dependent on team and location. Lots of widget chasing, always a new priority being added. Handcuffed by back office mistakes and slow tech. Not agile or flexible enough in the retail space. Lots of branch teams have built in power structures, that make it difficult for new team members to break in and be productive. Comp plan changes regularly.","Great place to learn the industry. If you're in the right office with the right team you can make $150-$300K as a banker if you are good. If you have the wrong team and wrong location you will be very, very lucky to clear $90K.  Work life balance varies by location. Your experience and income opportunity here will be very highly dependent on your location. Your work-life balance, happiness at work, and team collaboration will be highly dependent on your manager. Everything depends on the quality of your partner and your manager's competence. Great benefits, base pay is very bad &amp; not competitive especially if you are good. Learn the incentive plan and max out your pvc's",18-05-2025,23:05:00,Los Angeles,CA
5224839,JPMorganChase,REGULAR,Senior Associate,6,TRUE,5,POSITIVE,APPROVE,5,5,5,5,5,5,0,0,Good place to work,Pay is on lower end,"Friendly people, collaborative, good culture",31-05-2025,09:15:00,New York,NY
5224839,JPMorganChase,REGULAR,Personal Banker,4,TRUE,2,,APPROVE,4,2,2,2,2,3,0,0,"Great Brand and Resources, But Support Varies by Management","•	The employee experience depends heavily on local leadership. While some managers are supportive, others struggle with consistency, transparency, and follow-through.
	•	Communication around accommodations and internal mobility can be unclear, and support for neurodivergent employees isn’t always consistent in practice.
	•	Sometimes feedback processes feel performative, with little change even after raising legitimate concerns.","•	The company offers a well-known name and solid benefits, including PTO, 401(k), and development resources.
	•	There are valuable training opportunities and certifications that can build a strong professional foundation.
	•	Client interactions can be very rewarding, and there’s a real opportunity to make a difference in people’s lives.",23-05-2025,21:00:00,Chicago,IL
5224839,JPMorganChase,REGULAR,Software Engineer III,2,TRUE,2,NEGATIVE,DISAPPROVE,4,1,2,2,1,4,0,0,Terrible developer experience in a low trust environment,"Developer experience at this company is catastrophically bad. Internal tools are extremely slow and unreliable. Developer processes are extremely inefficient with little concern shown to improving this. Devs on my team perform a lot of manual toil that could be automated if management showed any ability to think further than two weeks in advance.

All of this is of course a result of the highly conservative corporate culture. Communication is very difficult as everyone is looking to avoid blame and close out their tickets as fast as possible. This is only getting worse with the push to use LLMs: I had several interactions with my Technical Lead where he showed me flat-out broken code and demonstrated a complete misunderstanding of a tool he wanted to use, because he had asked the LLM instead of reading the docs.",Interesting problems to work on,13-05-2025,08:11:00,Seattle,WA
5224839,JPMorganChase,REGULAR,Process Manager,20,TRUE,3,NEGATIVE,NO_OPINION,2,4,5,3,2,2,0,0,Great company name but doesn't live up to its hype,"Top talent continues to be overlooked. Have watched management lose top performers time and time again. You shouldn't be surprised that team leads 
 are one foot out the door when you pass on them after carrying teams for years without reasonable raises and or remotely meeting cost of living increases. The unfortunate META is that everyone knows you can leave JPMC and get rehired for more money. That's just absurd. Were not Bobs bank its JPMorgan Chase. You go on television and report that the comfortable living wage is mid 80k and then underpay tenured employees with 15+ years of dedicated service by nearly 20k. Absolutely a terrible way operate.",Peers are always great to work with. So much talent.,21-04-2025,11:25:00,Columbus,OH
5224839,JPMorganChase,REGULAR,Vice President,20,FALSE,1,,DISAPPROVE,3,1,1,2,1,1,0,0,Hostile Work Environment in IT. Onsite hot desk environment is loud.,"Onsite hot desk environment is loud and distracting, coworkers conducting conversations right behind you while you are on a video call.Often difficult to find a seat, even if reserved bc ppl will just take it.
Expect to work long hours in IT and be micromanaged and insulted. In IT, managers reprimand  staff in front of others. Despite onsite policy of 3 days a week and then 5, I rarely saw management in the office, and others who wouldn't come in for weeks.
Ageism: There is a preference for young, cheap talent in IT that follows orders, and experience, and creativity are pushed aside.","Lots of Associate Resource Groups.
Good benefits",14-05-2025,08:27:00,Houston,TX
5224839,JPMorganChase,REGULAR,Data Analyst,4,FALSE,4,NEUTRAL,DISAPPROVE,3,4,4,3,3,3,0,0,good platform; work is slow,Some people you work with can be lazy and incompetent which challenges your production. Some management spends days and days on office politics. Don't expect to get a significant raise/bonus.,"This is a pretty good platform for new graduates who want to know what it is like to work for a big firm and get excited about its name. There is a handful of good products and product managers, and career mobility.",27-05-2025,12:55:00,New York,NY
5224839,JPMorganChase,REGULAR,Travel Advisor,6,TRUE,2,POSITIVE,APPROVE,4,4,5,4,4,4,0,0,Travel servicing,It needs more growth opportunities.,"Excellent medical and vacation benefits, and work life balance, especially in a remote position. The salary is way better than most companies start, especially for a remote position.",30-05-2025,20:22:00,Miami,FL
5224839,JPMorganChase,REGULAR,Senior Associate,0,TRUE,0,,,0,0,0,5,0,0,0,0,You will absolutely love your time at JPMorgan Chase,Interned with them for 2 months and I can't think of anything negative that I went through. Very very receptive to accommodation in your personal life even if you are only an intern,Very welcoming environment. Everyone is ready and eager to help you. All you need to do is reach out,28-05-2025,20:30:00,Chicago,IL
5224839,JPMorganChase,REGULAR,Implementation Solutions Analyst,1,TRUE,5,NEUTRAL,NO_OPINION,3,4,5,4,3,4,0,0,"Great community, lots of opportunity. Mid pay and out of touch excecutives","Executives are out of touch and prioritize shareholder profits above all else. Mandatory full time return to office. 401k does not match for your first year. Insurance is ok compared to other large companies, but good. Pay is not particularly high. Expect to get shafted by HR on pay after performance reviews and with internal promotions. Large company and things can grind very slowly.","I love my team. I work in international onboarding. There’s incredible community. A lot of really kind, helpful people. Work life balance is great and the work is minimally stressful. I have an easy understanding manager. I have a lot of flexibility with when I come in/leave the office and I frequently leave early when work is not at a peak.",14-04-2025,19:20:00,Plano,TX
5224839,JPMorganChase,PART_TIME,Associate Banker,4,FALSE,3,,APPROVE,5,3,3,3,3,5,0,0,dont get stuck here,"nearly impossible to move up in your career, even though the company loves to praise its internal mobility. managers at the smaller level want to keep you there and not let you move up pretty much","good benefits, stable job to have, the work itself is pretty easy",25-05-2025,07:43:00,North Brunswick,NJ
5224839,JPMorganChase,REGULAR,Trade Support Specialist,6,TRUE,5,POSITIVE,APPROVE,5,5,5,5,5,4,0,0,Exciting work,More communication with credit desk,Fascinating work keeps you engaged and always learning,31-05-2025,04:30:00,Newark,DE
